id;name;staticDataUrl;dynamicDataUrl;limitedAccess;uuid;latitude;longitude;city;country_code;province;region;mark;usage;accessPoints;capacity;contactPersons;minimumHeightInMeters;openingTimes;tariffs;Operator
7;Carpool Fivellaan (Delfzijl);https://npropendata.rdw.nl//parkingdata/v2/static/170189ef-125c-4c75-9d8c-2567ae3ba149;;0;170189ef-125c-4c75-9d8c-2567ae3ba149;53.327493783867;6.9005249030175;Delfzijl;nl;Groningen;Noord-Nederland;good;carpool;1;18;1;2.1;1;1;Delfzijl
15;parkeergarage Boterdiep;https://npropendata.rdw.nl//parkingdata/v2/static/16779e5b-974d-482e-b110-96aee7a4c029;;1;16779e5b-974d-482e-b110-96aee7a4c029;53.2253125;6.562979;Groningen;nl;Groningen;Noord-Nederland;good;garage;1;1040;1;2;1;1;Groningen
42;parkeergarage Circus;https://npropendata.rdw.nl//parkingdata/v2/static/d43d1e38-d824-4ce2-a20b-3b148e45123d;;1;d43d1e38-d824-4ce2-a20b-3b148e45123d;53.227035;6.5621056;Groningen;nl;Groningen;Noord-Nederland;good;garage;1;300;1;1.9;1;1;Groningen
43;parkeergarage Euroborg;https://npropendata.rdw.nl//parkingdata/v2/static/dfda01b6-aeec-4b74-a9fe-434a2d62dd87;;0;dfda01b6-aeec-4b74-a9fe-434a2d62dd87;53.20622745;6.5904894486795;Groningen;nl;Groningen;Noord-Nederland;good;garage;1;2149;1;1.9;1;1;Groningen
44;parkeergarage Damsterdiep;https://npropendata.rdw.nl//parkingdata/v2/static/f8bedaec-2160-42c9-a121-a7ee67effd1b;;1;f8bedaec-2160-42c9-a121-a7ee67effd1b;53.2184757;6.5778489;Groningen;nl;Groningen;Noord-Nederland;good;garage;1;514;1;2.05;1;1;Groningen
46;parkeergarage Station Europapark;https://npropendata.rdw.nl//parkingdata/v2/static/76825e73-4c8d-4a9c-9061-6284afcd865c;https://opendata.technolution.nl/opendata/parkingdata/v1/dynamic/76825e73-4c8d-4a9c-9061-6284afcd865c;1;76825e73-4c8d-4a9c-9061-6284afcd865c;53.2052506;6.585899854809;Groningen;nl;Groningen;Noord-Nederland;good;garage;1;216;1;2.05;1;1;Groningen
52;Cubagarage;https://npropendata.rdw.nl//parkingdata/v2/static/2aed2095-5bc2-480d-b4cf-f1581884f4d6;;0;2aed2095-5bc2-480d-b4cf-f1581884f4d6;52.39376495;5.2764414526221;Almere;nl;Flevoland;Noordwest-Nederland;good;garage;1;209;1;1.9;1;1;Almere
56;P03 Regisseurgarage;https://npropendata.rdw.nl//parkingdata/v2/static/f914b954-5e4c-4b25-859f-d775e4c473f5;http://opd.it-t.nl/Data/parkingdata/v1/almere/dynamic/f914b954-5e4c-4b25-859f-d775e4c473f5.json;0;f914b954-5e4c-4b25-859f-d775e4c473f5;52.373349;5.2213808784393;Almere;nl;Flevoland;Noordwest-Nederland;good;garage;1;445;1;1.9;1;1;Almere
59;P12 Schoutgarage;https://npropendata.rdw.nl//parkingdata/v2/static/883bccff-15c5-46e8-bc2e-60599b54f10f;http://opd.it-t.nl/Data/parkingdata/v1/almere/dynamic/883bccff-15c5-46e8-bc2e-60599b54f10f.json;0;883bccff-15c5-46e8-bc2e-60599b54f10f;52.3741107;5.2180409;Almere;nl;Flevoland;Noordwest-Nederland;good;garage;1;350;1;1.9;1;1;Almere
60;P02 Metropolegarage;https://npropendata.rdw.nl//parkingdata/v2/static/e4f778ec-4db9-474a-af7a-520ea373912f;http://opd.it-t.nl/Data/parkingdata/v1/almere/dynamic/e4f778ec-4db9-474a-af7a-520ea373912f.json;0;e4f778ec-4db9-474a-af7a-520ea373912f;52.37394475;5.2211400972909;Almere;nl;Flevoland;Noordwest-Nederland;good;garage;1;414;1;1.9;1;1;Almere
