id;name;staticDataUrl;dynamicDataUrl;limitedAccess;uuid;latitude;longitude;city;country_code;province;region;mark;usage;accessPoints;capacity;contactPersons;minimumHeightInMeters;openingTimes;tariffs;Operator
1;P+R Station Appingedam (Appingedam);https://npropendata.rdw.nl//parkingdata/v2/static/fc749565-1fe9-42f0-920a-3b4e718d62f9;;0;fc749565-1fe9-42f0-920a-3b4e718d62f9;53.325488634795;6.8620881539554;Appingedam;nl;Groningen;Noord-Nederland;good;park and ride;1;22;1;0;1;1;Appingedam
12;P+R Station Delfzijl-West (Delfzijl);https://npropendata.rdw.nl//parkingdata/v2/static/1c5af686-c6fb-48fc-b5da-2a4ba190e0af;;0;1c5af686-c6fb-48fc-b5da-2a4ba190e0af;53.3319782;6.9065321;Delfzijl;nl;Groningen;Noord-Nederland;good;park and ride;1;21;1;0;1;1;Delfzijl
14;P+R Station Delfzijl (Delfzijl);https://npropendata.rdw.nl//parkingdata/v2/static/a0b6ade4-66a6-477c-970b-64c8a0b63355;;0;a0b6ade4-66a6-477c-970b-64c8a0b63355;53.3337032;6.92500765;Delfzijl;nl;Groningen;Noord-Nederland;good;park and ride;1;25;1;0;1;1;Delfzijl
16;P+R Euroborg P3 (Groningen);https://npropendata.rdw.nl//parkingdata/v2/static/f599f67d-da10-4aec-8a51-93d494861b49;;0;f599f67d-da10-4aec-8a51-93d494861b49;53.2075931;6.5968452;Groningen;nl;Groningen;Noord-Nederland;good;park and ride;1;600;1;0;1;1;Groningen
48;P+R Leek, Pasop Midwolde (Leek);https://npropendata.rdw.nl//parkingdata/v2/static/71ba39a0-e63b-4cac-bd57-ac6f7e3aca63;;0;71ba39a0-e63b-4cac-bd57-ac6f7e3aca63;53.1849828;6.3806719828035;Westerkwartier;nl;Groningen;Noord-Nederland;good;park and ride;1;200;1;0;1;1;Leek
67;P+R-terrein Stichtse Brug (Almere);https://npropendata.rdw.nl//parkingdata/v2/static/b09fca09-3afb-43b8-9e24-15e6e851423f;;0;b09fca09-3afb-43b8-9e24-15e6e851423f;52.308627787714;5.3225728779255;Almere;nl;Flevoland;Noordwest-Nederland;good;park and ride;1;274;1;0;1;1;Almere
70;P+R-terrein Oostvaarders (Almere);https://npropendata.rdw.nl//parkingdata/v2/static/5ee3e19b-9c03-4d58-9eb2-bbd3a459cc16;;0;5ee3e19b-9c03-4d58-9eb2-bbd3a459cc16;52.4031231;5.2990181297917;Almere;nl;Flevoland;Noordwest-Nederland;good;park and ride;1;150;1;0;1;1;Almere
72;P+R-terrein Almere Parkwijk (Almere);https://npropendata.rdw.nl//parkingdata/v2/static/31d70250-d452-414f-bf8e-69fdff4bc45c;;0;31d70250-d452-414f-bf8e-69fdff4bc45c;52.3770936;5.2433553734247;Almere;nl;Flevoland;Noordwest-Nederland;good;park and ride;1;265;1;0;1;1;Almere
73;P+R-terrein 't Oortje (Almere);https://npropendata.rdw.nl//parkingdata/v2/static/871a470d-2212-4898-a338-912dee3fd276;;0;871a470d-2212-4898-a338-912dee3fd276;52.355829745849;5.2212179718058;Almere;nl;Flevoland;Noordwest-Nederland;good;park and ride;1;100;1;0;1;1;Almere
76;P+R-terrein Almere Muziekwijk (Almere);https://npropendata.rdw.nl//parkingdata/v2/static/16e1efd6-fce3-43cc-a7fc-0e08e216e718;http://opd.it-t.nl/Data/parkingdata/v1/almere/dynamic/16e1efd6-fce3-43cc-a7fc-0e08e216e718.json;0;16e1efd6-fce3-43cc-a7fc-0e08e216e718;52.3677722;5.1893385840402;Almere;nl;Flevoland;Noordwest-Nederland;good;park and ride;1;345;1;0;1;1;Almere
105;P+R Stationsstraat, Sauwerd (Winsum);https://npropendata.rdw.nl//parkingdata/v2/static/7ce06463-5f00-4238-a128-7fca5379247e;;0;7ce06463-5f00-4238-a128-7fca5379247e;53.2921603;6.5396692;Het Hogeland;nl;Groningen;Noord-Nederland;good;park and ride;1;13;1;0;1;1;Winsum
107;P+R Stationsweg, Baflo (Winsum);https://npropendata.rdw.nl//parkingdata/v2/static/cf1a89b0-9768-43e0-9ba0-a9d7a1e09209;;0;cf1a89b0-9768-43e0-9ba0-a9d7a1e09209;53.3608825;6.5185413;Het Hogeland;nl;Groningen;Noord-Nederland;good;park and ride;1;6;1;0;1;1;Winsum
108;P+R Het Hoge Heem, Winsum (Winsum);https://npropendata.rdw.nl//parkingdata/v2/static/f74824a3-1ff0-43de-9d7e-2fb2a61ad02e;;0;f74824a3-1ff0-43de-9d7e-2fb2a61ad02e;53.330920484477;6.519529366263;Het Hogeland;nl;Groningen;Noord-Nederland;good;park and ride;1;60;1;0;1;1;Winsum
213;P+R Coevorden (Coevorden);https://npropendata.rdw.nl//parkingdata/v2/static/e417f791-3282-47bd-98e4-c71426ab5ab8;;0;e417f791-3282-47bd-98e4-c71426ab5ab8;52.6641976;6.7361657;Coevorden;nl;Drenthe;Noord-Nederland;good;park and ride;1;71;1;0;1;1;Coevorden
